Title,Property Size,Bedrooms,Bathrooms,Furnishing,Region,Region Name,Region Parent Name,Is Boost,Price
Furnished 6bdrm Duplex in Guzape District for sale,3000.0,6,6,Furnished,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),Basic,1100000000.0
3bdrm Apartment in Guzape District for sale,3000.0,3,3,Semi Furnished,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),Basic,300000000.0
"6bdrm Duplex in Mayfair Gardens, Awoyaya for sale",675.0,6,6,Semi Furnished,"Ibeju, Awoyaya",Awoyaya,Lagos State,Premium,600000000.0
Furnished 5bdrm Duplex in Guzape District for sale,700.0,5,5,Furnished,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),Basic,1100000000.0
Furnished 9bdrm House in Burum for sale,800.0,9,9,Furnished,"Kabusa, Burum",Burum,Kabusa,Basic,48500000.0
"4bdrm Duplex in King'S Palace Estate, Sabon Lugbe for sale",600.0,4,4,Semi Furnished,"Lugbe District, Sabon Lugbe",Sabon Lugbe,Abuja (FCT),Diamond,300000000.0
Furnished 6bdrm Duplex in Apo Resettlement for sale,800.0,6,6,Furnished,"Apo District, Apo Resettlement",Apo Resettlement,Abuja (FCT),Basic,750000000.0
5bdrm Duplex in Kubwa for sale,650.0,5,5,Semi Furnished,"Abuja (FCT), Kubwa",Kubwa,Abuja (FCT),Basic,200000000.0
3bdrm Duplex in Life Camp for sale,1000.0,3,3,Unfurnished,"Gwarinpa, Life Camp",Life Camp,Abuja (FCT),Basic,60000000.0
1bdrm Apartment in Idu Industrial for sale,10.0,1,1,Semi Furnished,"Abuja (FCT), Idu Industrial",Idu Industrial,Abuja (FCT),False,3500000.0
Furnished 4bdrm Duplex in Kado for sale,2000.0,4,4,Furnished,"Abuja (FCT), Kado",Kado,Abuja (FCT),Basic,600000000.0
"3bdrm Duplex in Victory Estate, Berger for sale",300.0,3,4,Unfurnished,"Ojodu, Berger",Berger,Lagos State,False,180000000.0
Furnished 3bdrm Apartment in Katampe (Main) for sale,3000.0,3,3,Furnished,"Katampe, Katampe (Main)",Katampe (Main),Abuja (FCT),Basic,220000000.0
"2bdrm Block of Flats in Podo, Akala Express for sale",579.0,2,3,Unfurnished,"Ibadan, Akala Express",Akala Express,Oyo State,VIP Gold,45000000.0
"Furnished 8bdrm House in Abere Government, Osogbo for sale",3500.0,8,4,Furnished,"Osun State, Osogbo",Osogbo,Osun State,False,230000000.0
4bdrm Duplex in Garki 2 for sale,1500.0,4,4,Unfurnished,"Abuja (FCT), Garki 2",Garki 2,Abuja (FCT),Premium,350000000.0
"4bdrm Duplex in Millennium, Millenuim/UPS for sale",350.0,4,4,Semi Furnished,"Gbagada, Millenuim/UPS",Millenuim/UPS,Lagos State,False,350000000.0
10bdrm Block of Flats in Ajah for sale,761.0,10,12,Unfurnished,"Lagos State, Ajah",Ajah,Lagos State,VIP Gold,250000000.0
12bdrm Block of Flats in Ibadan for sale,600.0,12,8,Semi Furnished,"Oyo State, Ibadan",Ibadan,Oyo State,Enterprise,99800000.0
4bdrm Bungalow in Adio Street Ile Ife for sale,4200.0,4,4,Semi Furnished,"Osun State, Ife",Ife,Osun State,False,45000000.0
3bdrm Bungalow in Thomas Estate for sale,300.0,3,4,Unfurnished,"Ajah, Thomas Estate",Thomas Estate,Lagos State,False,75000000.0
4bdrm Duplex in Ojodu Berger Lagos for sale,150.0,4,5,Semi Furnished,"Ojodu, Berger",Berger,Lagos State,Enterprise,260000000.0
"4bdrm Block of Flats in Unity Estate Araba, Alakia for sale",450.0,4,5,Unfurnished,"Ibadan, Alakia",Alakia,Oyo State,VIP Gold,14000000.0
"4bdrm Bungalow in Evergreen Estate, Ado-Odo/Ota for sale",330.0,4,4,Unfurnished,"Ogun State, Ado-Odo/Ota",Ado-Odo/Ota,Ogun State,VIP,8500000.0
"Furnished 4bdrm Penthouse in New Road Extension,, Obio-Akpor for sale",465.0,4,4,Furnished,"Rivers State, Obio-Akpor",Obio-Akpor,Rivers State,Diamond,95000000.0
"Furnished 3bdrm Duplex in Shell Cooperative, Eneka for sale",400.0,3,3,Furnished,"Port-Harcourt, Eneka",Eneka,Port-Harcourt,Diamond,260000000.0
"4bdrm Duplex in Reef Court Estate,, Abuloma for sale",450.0,4,4,Unfurnished,"Port-Harcourt, Abuloma",Abuloma,Port-Harcourt,Diamond,600000000.0
2bdrm Apartment in Eneka Estate for sale,900.0,2,2,Unfurnished,"Port-Harcourt, Eneka",Eneka,Port-Harcourt,Diamond,230000000.0
